family,n,p,weight,algo,ws_beta,comm_ratio,grid_side,median_cpu_sec,n_samples,rank
WS,240,0.14,uniform_1_9,DIJKSTRA,0.3,,,0.002922874999057967,1000,2
GRID,36,0.06,uniform_1_9,A*,,,6,5.8062498283106834e-05,1000,1
GRID,36,0.06,uniform_1_9,DIJKSTRA,,,6,5.874999988009222e-05,1000,2
GRID,64,0.06,uniform_1_9,A*,,,8,0.00010406250294181518,1000,1
GRID,64,0.06,uniform_1_9,DIJKSTRA,,,8,0.00011043750055250712,1000,2
GRID,144,0.06,uniform_1_9,A*,,,12,0.00023345799854723737,1000,1
GRID,144,0.06,uniform_1_9,DIJKSTRA,,,12,0.000256895502388943,1000,2
GRID,256,0.06,uniform_1_9,A*,,,16,0.0004184374993201345,1000,1
GRID,256,0.06,uniform_1_9,DIJKSTRA,,,16,0.00047570799870300107,1000,2
GRID,36,0.1,uniform_1_9,A*,,,6,5.725050141336396e-05,1000,1
GRID,36,0.1,uniform_1_9,DIJKSTRA,,,6,5.837500066263601e-05,1000,2
GRID,64,0.1,uniform_1_9,A*,,,8,0.00010091650256072171,1000,1
GRID,64,0.1,uniform_1_9,DIJKSTRA,,,8,0.00010850000035134144,1000,2
GRID,144,0.1,uniform_1_9,A*,,,12,0.00024325000413227826,1000,1
GRID,144,0.1,uniform_1_9,DIJKSTRA,,,12,0.0002679999997781124,1000,2
GRID,256,0.1,uniform_1_9,A*,,,16,0.0004106874985154718,1000,1
GRID,256,0.1,uniform_1_9,DIJKSTRA,,,16,0.0004613954988599289,1000,2
GRID,36,0.14,uniform_1_9,A*,,,6,5.816599878016859e-05,1000,1
GRID,36,0.14,uniform_1_9,DIJKSTRA,,,6,5.9707996115321293e-05,1000,2
GRID,64,0.14,uniform_1_9,A*,,,8,0.00010458299948368222,1000,1
GRID,64,0.14,uniform_1_9,DIJKSTRA,,,8,0.00011006250133505091,1000,2
GRID,144,0.14,uniform_1_9,A*,,,12,0.0002281460001540836,1000,1
GRID,144,0.14,uniform_1_9,DIJKSTRA,,,12,0.00025535399981890805,1000,2
GRID,256,0.14,uniform_1_9,A*,,,16,0.0004022704997623805,1000,1
GRID,256,0.14,uniform_1_9,DIJKSTRA,,,16,0.0004607914997905027,1000,2
COMM,30,0.06,uniform_1_9,DIJKSTRA,,3.0,,3.6249999538995326e-05,1000,1
COMM,30,0.06,uniform_1_9,A*,,3.0,,4.237500252202153e-05,1000,2
COMM,30,0.06,uniform_1_9,DIJKSTRA,,6.0,,3.3125001209555194e-05,1000,1
COMM,30,0.06,uniform_1_9,A*,,6.0,,3.9270998968277127e-05,1000,2
COMM,30,0.06,uniform_1_9,DIJKSTRA,,12.0,,3.391650170669891e-05,1000,1
COMM,30,0.06,uniform_1_9,A*,,12.0,,3.995850056526251e-05,1000,2
COMM,30,0.1,uniform_1_9,DIJKSTRA,,3.0,,4.870850170846097e-05,1000,1
COMM,30,0.1,uniform_1_9,A*,,3.0,,5.4687501688022166e-05,1000,2
COMM,30,0.1,uniform_1_9,DIJKSTRA,,6.0,,3.699999797390774e-05,1000,1
COMM,30,0.1,uniform_1_9,A*,,6.0,,4.345849811215885e-05,1000,2
COMM,30,0.1,uniform_1_9,DIJKSTRA,,12.0,,3.610400017350912e-05,1000,1
COMM,30,0.1,uniform_1_9,A*,,12.0,,4.27705017500557e-05,1000,2
COMM,30,0.14,uniform_1_9,DIJKSTRA,,3.0,,5.804150350741111e-05,1000,1
COMM,30,0.14,uniform_1_9,A*,,3.0,,6.237499474082142e-05,1000,2
COMM,30,0.14,uniform_1_9,DIJKSTRA,,6.0,,4.999999873689376e-05,1000,1
COMM,30,0.14,uniform_1_9,A*,,6.0,,5.585400140262209e-05,1000,2
COMM,30,0.14,uniform_1_9,DIJKSTRA,,12.0,,4.4832995627075434e-05,1000,1
COMM,30,0.14,uniform_1_9,A*,,12.0,,5.116700049256906e-05,1000,2
COMM,60,0.06,uniform_1_9,DIJKSTRA,,3.0,,0.0001139585001510568,1000,1
COMM,60,0.06,uniform_1_9,A*,,3.0,,0.00012502049867180176,1000,2
COMM,60,0.06,uniform_1_9,DIJKSTRA,,6.0,,9.397899702889845e-05,1000,1
COMM,60,0.06,uniform_1_9,A*,,6.0,,0.0001067495031747967,1000,2
COMM,60,0.06,uniform_1_9,DIJKSTRA,,12.0,,8.224949851864949e-05,1000,1
COMM,60,0.06,uniform_1_9,A*,,12.0,,9.404149750480428e-05,1000,2
COMM,60,0.1,uniform_1_9,DIJKSTRA,,3.0,,0.00015647950203856453,1000,1
COMM,60,0.1,uniform_1_9,A*,,3.0,,0.00016537500414415263,1000,2
COMM,60,0.1,uniform_1_9,DIJKSTRA,,6.0,,0.00012737499855575152,1000,1
COMM,60,0.1,uniform_1_9,A*,,6.0,,0.00013939600103185512,1000,2
COMM,60,0.1,uniform_1_9,DIJKSTRA,,12.0,,0.00011327099855407141,1000,1
COMM,60,0.1,uniform_1_9,A*,,12.0,,0.00012422900181263685,1000,2
COMM,60,0.14,uniform_1_9,A*,,3.0,,0.00020027099890285172,1000,1
COMM,60,0.14,uniform_1_9,DIJKSTRA,,3.0,,0.00021137500152690336,1000,2
COMM,60,0.14,uniform_1_9,DIJKSTRA,,6.0,,0.00015939600052661262,1000,1
COMM,60,0.14,uniform_1_9,A*,,6.0,,0.0001642500028538052,1000,2
COMM,60,0.14,uniform_1_9,DIJKSTRA,,12.0,,0.00014233350157155655,1000,1
COMM,60,0.14,uniform_1_9,A*,,12.0,,0.00015081250239745714,1000,2
COMM,120,0.06,uniform_1_9,DIJKSTRA,,3.0,,0.0003826669999398291,1000,1
COMM,120,0.06,uniform_1_9,A*,,3.0,,0.00038612549906247295,1000,2
COMM,120,0.06,uniform_1_9,DIJKSTRA,,6.0,,0.00030810349926468916,1000,1
COMM,120,0.06,uniform_1_9,A*,,6.0,,0.0003227500019420404,1000,2
COMM,120,0.06,uniform_1_9,DIJKSTRA,,12.0,,0.00027172900081495754,1000,1
COMM,120,0.06,uniform_1_9,A*,,12.0,,0.00029399950290098786,1000,2
COMM,120,0.1,uniform_1_9,A*,,3.0,,0.0004833545026485808,1000,1
COMM,120,0.1,uniform_1_9,DIJKSTRA,,3.0,,0.000560562501050299,1000,2
COMM,120,0.1,uniform_1_9,A*,,6.0,,0.0004370835013105534,1000,1
COMM,120,0.1,uniform_1_9,DIJKSTRA,,6.0,,0.00045862499973736703,1000,2
COMM,120,0.1,uniform_1_9,A*,,12.0,,0.0003711874996952247,1000,1
COMM,120,0.1,uniform_1_9,DIJKSTRA,,12.0,,0.0003860835022351239,1000,2
COMM,120,0.14,uniform_1_9,A*,,3.0,,0.0006083750013203826,1000,1
COMM,120,0.14,uniform_1_9,DIJKSTRA,,3.0,,0.000764062500820728,1000,2
COMM,120,0.14,uniform_1_9,A*,,6.0,,0.0005080835035187192,1000,1
COMM,120,0.14,uniform_1_9,DIJKSTRA,,6.0,,0.0006110209978942294,1000,2
COMM,120,0.14,uniform_1_9,A*,,12.0,,0.0004629789982573129,1000,1
COMM,120,0.14,uniform_1_9,DIJKSTRA,,12.0,,0.0005177295024623163,1000,2
