family,n,p,weight,algo,ws_beta,comm_ratio,grid_side,median_cpu_sec,n_samples,rank
WS,30,0.1,uniform_1_9,DIJKSTRA,0.05,,,5.7666497013997287e-05,1000,2
WS,30,0.1,uniform_1_9,ALT,0.05,,,6.170800043037161e-05,1000,3
WS,30,0.1,uniform_1_9,A*,0.05,,,6.354200013447553e-05,1000,4
WS,30,0.1,uniform_1_9,BI_DIJKSTRA,0.1,,,3.391650170669891e-05,1000,1
WS,30,0.1,uniform_1_9,DIJKSTRA,0.1,,,5.729149779654108e-05,1000,2
WS,30,0.1,uniform_1_9,ALT,0.1,,,5.8104000345338136e-05,1000,3
WS,30,0.1,uniform_1_9,A*,0.1,,,6.166650200611912e-05,1000,4
WS,30,0.1,uniform_1_9,BI_DIJKSTRA,0.3,,,3.2542004191782326e-05,1000,1
WS,30,0.1,uniform_1_9,ALT,0.3,,,5.4354000894818455e-05,1000,2
WS,30,0.1,uniform_1_9,DIJKSTRA,0.3,,,5.7999997807201e-05,1000,3
WS,30,0.1,uniform_1_9,A*,0.3,,,6.277099964790978e-05,1000,4
WS,30,0.14,uniform_1_9,BI_DIJKSTRA,0.01,,,4.916649777442217e-05,1000,1
WS,30,0.14,uniform_1_9,DIJKSTRA,0.01,,,5.797950143460184e-05,1000,2
WS,30,0.14,uniform_1_9,A*,0.01,,,6.308349838946015e-05,1000,3
WS,30,0.14,uniform_1_9,ALT,0.01,,,6.40834987279959e-05,1000,4
WS,30,0.14,uniform_1_9,BI_DIJKSTRA,0.05,,,4.2583498725434765e-05,1000,1
WS,30,0.14,uniform_1_9,DIJKSTRA,0.05,,,5.5479500588262454e-05,1000,2
WS,30,0.14,uniform_1_9,A*,0.05,,,6.0999500419711694e-05,1000,3
WS,30,0.14,uniform_1_9,ALT,0.05,,,6.135450166766532e-05,1000,4
WS,30,0.14,uniform_1_9,BI_DIJKSTRA,0.1,,,3.737500082934275e-05,1000,1
WS,30,0.14,uniform_1_9,ALT,0.1,,,5.750000127591193e-05,1000,2
WS,30,0.14,uniform_1_9,DIJKSTRA,0.1,,,6.07290021434892e-05,1000,3
WS,30,0.14,uniform_1_9,A*,0.1,,,6.552100239787251e-05,1000,4
WS,30,0.14,uniform_1_9,BI_DIJKSTRA,0.3,,,2.9562499548774213e-05,1000,1
WS,30,0.14,uniform_1_9,ALT,0.3,,,5.554199742618948e-05,1000,2
WS,30,0.14,uniform_1_9,DIJKSTRA,0.3,,,5.939600305282511e-05,1000,3
WS,30,0.14,uniform_1_9,A*,0.3,,,6.381249841069803e-05,1000,4
WS,60,0.06,uniform_1_9,BI_DIJKSTRA,0.01,,,9.485399641562253e-05,1000,1
WS,60,0.06,uniform_1_9,ALT,0.01,,,0.00011283350249868818,1000,2
WS,60,0.06,uniform_1_9,DIJKSTRA,0.01,,,0.0001135835045715794,1000,3
WS,60,0.06,uniform_1_9,A*,0.01,,,0.00012702049934887327,1000,4
WS,60,0.06,uniform_1_9,BI_DIJKSTRA,0.05,,,6.841699723736383e-05,1000,1
WS,60,0.06,uniform_1_9,ALT,0.05,,,8.993750088848174e-05,1000,2
WS,60,0.06,uniform_1_9,DIJKSTRA,0.05,,,0.00011295799777144566,1000,3
WS,60,0.06,uniform_1_9,A*,0.05,,,0.00012375000369502231,1000,4
WS,60,0.06,uniform_1_9,BI_DIJKSTRA,0.1,,,5.8083500334760174e-05,1000,1
WS,60,0.06,uniform_1_9,ALT,0.1,,,8.166699990397319e-05,1000,2
WS,60,0.06,uniform_1_9,DIJKSTRA,0.1,,,0.00011781249850173481,1000,3
WS,60,0.06,uniform_1_9,A*,0.1,,,0.00012872899969806895,1000,4
WS,60,0.06,uniform_1_9,BI_DIJKSTRA,0.3,,,5.0521000957814977e-05,1000,1
WS,60,0.06,uniform_1_9,ALT,0.3,,,7.960449875099584e-05,1000,2
WS,60,0.06,uniform_1_9,DIJKSTRA,0.3,,,0.00011831299707409926,1000,3
WS,60,0.06,uniform_1_9,A*,0.3,,,0.0001284790014324244,1000,4
WS,60,0.1,uniform_1_9,BI_DIJKSTRA,0.01,,,0.00011916649964405224,1000,1
WS,60,0.1,uniform_1_9,ALT,0.01,,,0.0001356249995296821,1000,2
WS,60,0.1,uniform_1_9,DIJKSTRA,0.01,,,0.0001572914952703286,1000,3
WS,60,0.1,uniform_1_9,A*,0.01,,,0.00016614649939583614,1000,4
WS,60,0.1,uniform_1_9,BI_DIJKSTRA,0.05,,,8.69999967108015e-05,1000,1
WS,60,0.1,uniform_1_9,ALT,0.05,,,0.00010435450167278759,1000,2
WS,60,0.1,uniform_1_9,DIJKSTRA,0.05,,,0.00016106249677250162,1000,3
